id,category_id,category_name,question,correct_answer,incorrect_1,incorrect_2,incorrect_3,difficulty
1,1,Geography,What is the nickname of the US state of California?,Golden State,Sunshine State,Bay State,Treasure State,easy
2,1,Geography,What is the official language of Brazil?,Portuguese,Brazilian,Spanish,English,easy
3,1,Geography,What is the currency of Poland?,Złoty,Ruble,Euro,Krone,medium
4,1,Geography,How long did it take the motorized window washers of the original World Trade Center to clean the entire exterior of the building?,1 Month,3 Weeks,1 Week,2 Months,hard
5,1,Geography,"Linus Pauling (one of the only winners of multiple Nobel Prizes) earned his Nobel Prizes in Chemistry and what?",Peace,Physics,Economics,Physiology/Medicine,medium
6,1,Geography,"The word ""astasia"" means which of the following?",The inability to stand up,The inability to make decisions,The inability to concentrate on anything,A feverish desire to rip one's clothes off,hard
7,1,Geography,What direction does the Statue of Liberty face?,Southeast,Southwest,Northwest,Northeast,medium
8,1,Geography,Where is Apple Inc. headquartered?,"Cupertino, California","Redwood City, California","Redmond, Washington","Santa Monica, CA",hard
9,2,Language,"What is the romanized Chinese word for ""airplane""?",Feiji,Qiche,Zongxian,Huojian,hard
10,2,Language,Which of the following languages does NOT use gender as a part of its grammar?,Turkish,German,Danish,Polish,hard
11,2,Language,"What is the romanized Russian word for ""winter""?",Zima,Leto,Vesna,Osen',medium
12,3,Video Games,Which company did Valve cooperate with in the creation of the Vive?,HTC,Oculus,Google,Razer,easy
13,3,Video Games,"In ""Resident Evil 3"" how many inventory slots does Jill have at the start of the game?",8,6,10,12,hard
14,3,Video Games,"In ""Katamari Damacy"" you control a character known as:",The Prince,Fujio,Ichigo,Foomin,easy
15,3,Video Games,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,6th,2nd,7th,4th,easy
16,3,Video Games,"In ""Battle Cats"" what is Moneko / MISS Moneko's critical percentage rate?",15%,20%,10%,25%,hard
17,4,Science,How many furlongs are there in a mile?,Eight,Two,Four,Six,easy
18,4,Science,Sciophobia is the fear of what?,Shadows,Eating,Bright lights,Transportation,hard
19,4,Science,What step in cellular respiration forms ATP?,Oxidative Phosphorylation,Glycolysis,Pyruvate Oxidation,Calvin Cycle,easy
20,4,Science," Which chemical element (number 11 in the Periodic table) has the symbol Na?",Sodium,Carbon,Lead,Nitrogen,easy
21,5,Culture,What is the famous Papa John's last name?,Schnatter,Chowder,Williams,ANDERSON,easy
22,5,Culture,What kind of aircraft was developed by Igor Sikorsky in the United States in 1942?,Helicopter,Stealth Blimp,Jet,Space Capsule,easy
23,5,Culture,Bob and Mike Bryan were well known brothers in which sport?,Tennis,Basketball,Football,Baseball,medium
24,5,Culture,"In past times, what would a gentleman keep in his fob pocket?",Watch,Money,Keys,Notebook,easy
25,5,Culture,What is the name of the antagonist group in Danganronpa Another Episode: Ultra Despair Girls?,Warriors of Hope,The Monokubs,Warriors of Despair,The Ultimate Despair,easy
26,5,Culture,What geometric shape is generally used for stop signs?,Octagon,Hexagon,Circle,Triangle,easy
27,5,Culture,What is the first book of the Old Testament?,Genesis,Exodus,Leviticus,Numbers,easy
28,5,Culture,What are Panama hats made out of?,Straw,Silk,Hemp,Flax,easy
29,5,Culture,What word represents the letter 'T' in the NATO phonetic alphabet?,Tango,Target,Taxi,Turkey,easy
30,5,Culture,"The website ""Shut Up & Sit Down"" reviews which form of media?",Board Games,Television Shows,Video Games,Films,medium
31,5,Culture,"On a dartboard what number is directly opposite No. 1?",19,20,12,15,easy
32,5,Culture,The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,Neoclassical,Baroque,Gothic Revival,medium
33,5,Culture,Which item of clothing is usually worn by a Scotsman at a wedding?,Kilt,Skirt,Dress,Rhobes,medium
34,5,Culture,Which American-owned brewery led the country in sales by volume in 2015?,"D. G. Yuengling and Son, Inc",Anheuser Busch,Boston Beer Company,Miller Coors,easy
35,5,Culture,"What is the profession of Elon Musk's mom Maye Musk?",Model,Professor,Biologist,Musician,easy
36,5,Culture,What was Mountain Dew's original slogan?,Yahoo! Mountain Dew... It'll tickle your innards!,Give Me A Dew,Do The Dew,Get' that barefoot feelin' drinkin' Mountain Dew,medium
37,5,Culture,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,A mall with no stores,A mall that has been condemed,A mall after business hours,medium
38,5,Culture,Nephelococcygia is the practice of doing what?,Finding shapes in clouds,Sleeping with your eyes open,Breaking glass with your voice,Swimming in freezing water,hard
39,5,Culture,What zodiac sign is represented by a pair of scales?,Libra,Aries,Capricorn,Sagittarius,easy
40,5,Culture,The likeness of which president is featured on the rare $2 bill of USA currency?,Thomas Jefferson,Martin Van Buren,Ulysses Grant,John Quincy Adams,easy
41,5,Culture,Which one of these is not a typical European sword design?,Scimitar,Falchion,Ulfberht,Flamberge,easy
42,5,Culture,What year was Apple Inc. founded?,1976,1978,1980,1974,medium
43,5,Culture,Which of the General Mills Corporation's monster cereals was the last to be released in the 1970's?,Fruit Brute,Count Chocula,Franken Berry,Boo-Berry,medium
44,5,Culture,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,Frankfurt (Main) Hauptbahnhof,Paris Gare du Nord,Brussels Midi,medium
45,5,Culture,"What is ""dabbing""?",A dance,A medical procedure,A sport,A language,easy
46,5,Culture,"What was the nickname given to the Hughes H-4 Hercules a heavy transport flying boat which achieved flight in 1947?",Spruce Goose,Noah's Ark,Fat Man,Trojan Horse,easy
47,5,Culture,The Hyundai Motor Company was founded in which country?,South Korea,Russia,Japan,China,easy
48,5,Culture,Which of the following buildings is example of a structure primarily built in the Art Deco architectural style?,Niagara Mohawk Building,Taipei 101,One Detroit Center,Westendstrasse 1,medium
49,5,Culture,"What was the original name of the search engine ""Google""?",BackRub,CatMassage,SearchPro,Netscape Navigator,medium
50,5,Culture,Whose greyscale face is on the kappa emoticon on Twitch?,Josh DeSeno,Justin DeSeno,John DeSeno,Jimmy DeSeno,medium
51,6,Technology,Which data structure does FILO apply to?,Stack,Queue,Heap,Tree,hard
52,6,Technology,"When Gmail first launched how much storage did it provide for your email?",1GB,512MB,5GB,Unlimited,easy
53,6,Technology,Which RAID array type is associated with data mirroring?,RAID 1,RAID 0,RAID 10,RAID 5,hard
54,6,Technology,"On a standard American QWERTY keyboard what symbol will you enter if you hold the shift key and press 1?",Exclamation Mark,Dollar Sign,Percent Sign,Asterisk,easy
55,6,Technology,What language does Node.js use?,JavaScript,Java,Java Source,Joomla Source Code,easy
56,6,Technology,What does RAID stand for?,Redundant Array of Independent Disks,Rapid Access for Indexed Devices,Range of Applications with Identical Designs,Randomized Abstract Identification Description,medium
